"﻿""﻿Област""","Община","Населено място","Код по Админ","Училище","БЕЛ Брой","БЕЛ Ср.успех","МАТ Брой","МАТ Ср.успех","ИСТ Брой","ИСТ Ср.успех","ФА Брой","ФА Ср.успех","ГЕО Брой","ГЕО Ср.успех","ХООС Брой","ХООС Ср.успех","ФИЛ Брой","ФИЛ Ср.успех","БЗО Брой","БЗО Ср.успех","АЕ Брой","АЕ Ср.успех","РЕ Брой","РЕ Ср.успех","НЕ Брой","НЕ Ср.успех","ИспЕ Брой","ИспЕ Ср.успех","ФрЕ Брой","ФрЕ Ср.успех","ИтЕ Брой","ИтЕ Ср.успех"
"БЛАГОЕВГРАД","БАНСКО","ГР.БАНСКО","102 015","Професионална гимназия по електроника и енергетика","52","3,70","0","0,00","0","0,00","2","4,53","14","3,75","0","0,00","0","0,00","11","3,84","8","4,50","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","БАНСКО","ГР.БАНСКО","102 010","Гимназия по  туризъм ""Алеко Константинов""","22","3,20","0","0,00","0","0,00","0","0,00","2","4,38","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","БАНСКО","ГР.БАНСКО","102 004","Професионална лесотехническа гимназия""Никола Йонков Вапцаров""","39","3,44","0","0,00","0","0,00","0","0,00","3","3,38","0","0,00","0","0,00","14","3,15","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","БЕЛИЦА","ГР.БЕЛИЦА","105 002","Професионална гимназия ""Никола Йонков Вапцаров""","41","3,81","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","БЕЛИЦА","ГР.БЕЛИЦА","105 001","Средно  училище ""Св.Св.Кирил и Методий""","32","4,33","3","5,76","0","0,00","0","0,00","26","4,67","0","0,00","0","0,00","6","3,10","3","4,52","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","100 190","Езикова гимназия   ""Акад. Людмил Стоянов""","162","5,23","5","4,69","1","4,46","1","4,53","9","4,34","1","5,92","1","5,56","1","3,90","99","5,12","0","0,00","33","5,38","0","0,00","12","5,15","0","0,00"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","101 870","Национална хуманитарна гимназия""Св.св.Кирил и Методий""","109","4,29","1","5,04","4","4,26","0","0,00","8","3,35","1","4,84","28","4,23","22","4,08","44","4,55","0","0,00","1","3,59","3","4,49","0","0,00","0","0,00"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","102 060","Пето средно училище   ""Георги Измирлиев""","30","3,65","0","0,00","0","0,00","0","0,00","4","3,59","0","0,00","0","0,00","24","3,65","3","4,05","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","100 200","Природо-математическа гимназия   Акад. Сергей  Корольов","162","5,07","46","5,53","6","5,02","1","5,92","16","4,33","18","5,91","13","4,60","11","5,74","47","5,23","0","0,00","4","5,11","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","100 052","Благоевградска професионална гимназия ""Ичко Бойчев""","74","3,23","0","0,00","2","3,09","0","0,00","54","3,10","0","0,00","0","0,00","11","3,18","12","3,98","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","100 280","Професионална гимназия по икономика   ""Иван Илиев""","150","4,36","1","3,03","1","4,18","0","0,00","16","3,90","0","0,00","0","0,00","1","3,61","26","4,34","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","101 730","Професионална гимназия   по туризъм и лека промишленост ""Гоце Делчев""","37","3,37","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","100 300","Професионална гимназия по строителство, архитектура и геодезия "" Васил Левски""","70","3,76","0","0,00","0","0,00","0","0,00","13","3,43","0","0,00","7","4,24","29","3,69","13","4,47","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","100 070","Седмо средно училище ""Кузман Шапкарев""","23","3,71","1","3,10","0","0,00","0","0,00","12","3,80","0","0,00","6","4,17","0","0,00","5","4,75","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","101 250","Средно училище с изучаване   на чужди езици ""Свети Климент Охридски""","21","4,12","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","3","4,52","5","3,30","12","4,66","1","5,99","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","109 174","Частно средно училище    ""Димитър и Йоан""","9","3,43","0","0,00","0","0,00","0","0,00","5","3,21","0","0,00","1","4,49","0","0,00","5","3,32","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","102 001","Неврокопска професионална  гимназия ""Димитър Талев""","158","3,93","3","3,93","1","2,88","0","0,00","22","3,08","0","0,00","3","3,72","7","3,74","7","4,48","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","102 002","Природо-математическа гимназия  ""Яне Сандански""","145","4,77","16","5,32","4","4,27","6","5,44","12","3,57","0","0,00","8","5,17","53","5,20","47","5,02","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","102 016","Професионална гимназия по механизация    на селското стопанство  ""Пейо Крачолов Яворов""","38","3,02","0","0,00","0","0,00","0","0,00","1","3,17","0","0,00","0","0,00","3","3,02","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.БРЕЗНИЦА","103 401","Средно училище   ""Св. Св. Кирил и Методий""","36","3,64","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","32","4,31","3","3,55","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ГЪРМЕН","101 301","Средно  училище   ""Св.Св.Кирил и Методий""","8","3,09","0","0,00","0","0,00","0","0,00","6","2,58","0","0,00","0","0,00","0","0,00","1","4,61","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","ГЪРМЕН","С.РИБНОВО","103 002","Средно училище   ""Йордан  Йовков""","24","3,35","2","4,67","3","3,29","0","0,00","2","2,97","0","0,00","17","3,80","1","3,45","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","КРЕСНА","ГР.КРЕСНА","105 101","Средно  училище   ""Св.Паисий Хилендарски""","8","3,54","0","0,00","0","0,00","0","0,00","4","3,53","0","0,00","1","2,90","3","4,19","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","104 001","Профилирана гимназия ""Пейо Крачолов Яворов""","112","4,38","13","5,13","6","3,98","0","0,00","31","3,92","0","0,00","13","4,43","23","4,61","25","4,64","1","2,70","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","102 014","Професионална гимназия по икономика и туризъм "" Проф. д-р Асен Златаров""","104","3,61","0","0,00","0","0,00","0","0,00","5","3,22","0","0,00","0","0,00","20","3,26","3","3,61","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","102 009","Професионална гимназия по   механоелектротехника ""Юрий Гагарин""","57","3,24","0","0,00","1","4,50","0","0,00","30","3,10","0","0,00","0","0,00","9","3,49","6","4,28","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","104 002","Средно  училище   ""Антон Попов""","7","2,81","0","0,00","0","0,00","0","0,00","5","2,65","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","103 310","Средно училище  ""Никола Йонков Вапцаров""","26","4,28","2","5,87","1","5,86","0","0,00","7","4,08","0","0,00","1","4,64","8","4,46","7","4,85","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.КОЛАРОВО","104 003","Средно  училище   ""Васил Левски""","12","3,89","0","0,00","0","0,00","0","0,00","10","4,35","0","0,00","0","0,00","0","0,00","1","5,56","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.ПЪРВОМАЙ","104 004","Средно  училище  ""Св.Паисий Хилендарски""","23","3,99","3","4,57","0","0,00","0","0,00","13","4,15","0","0,00","1","5,38","5","3,44","2","4,54","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","РАЗЛОГ","ГР.РАЗЛОГ","102 012","Разложка професионална гимназия  ""Никола Стойчев""","66","4,28","0","0,00","0","0,00","0","0,00","2","2,38","0","0,00","0","0,00","0","0,00","1","4,41","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","РАЗЛОГ","ГР.РАЗЛОГ","102 017","Професионална гимназия   по механизация на селското стопанствo","54","2,74","0","0,00","0","0,00","0","0,00","3","3,22","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","РАЗЛОГ","ГР.РАЗЛОГ","102 113","Професионална гимназия по транспорт","22","3,10","0","0,00","0","0,00","0","0,00","1","2,40","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","РАЗЛОГ","ГР.РАЗЛОГ","103 501","Средно училище    ""Братя Петър и Иван Каназиреви""","59","4,96","5","5,67","0","0,00","0","0,00","6","5,10","0","0,00","2","3,56","1","6,00","45","4,68","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.САНДАНСКИ","108 021","Вечерна профилирана гимназия","14","3,03","0","0,00","0","0,00","0","0,00","9","2,97","0","0,00","0","0,00","2","3,02","1","4,56","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.САНДАНСКИ","104 101","Профилирана гимназия ""Яне Сандански""","122","4,15","10","5,63","1","5,82","0","0,00","66","3,65","0","0,00","0","0,00","6","4,01","41","4,86","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.САНДАНСКИ","102 013","Земеделска професионална гимназия   ""Климент Аркадиевич Тимирязев""","114","3,98","1","2,90","1","3,06","0","0,00","45","3,66","0","0,00","0","0,00","5","4,42","11","4,74","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.САНДАНСКИ","102 007","Професионална техническа гимназия","23","2,81","0","0,00","0","0,00","0","0,00","3","2,65","0","0,00","0","0,00","9","2,81","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.САНДАНСКИ","109 185","Спортно училище","18","3,43","0","0,00","1","2,64","0","0,00","3","2,93","0","0,00","2","3,68","1","3,45","1","5,43","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","САТОВЧА","С.ВЪЛКОСЕЛ","109 030","Средно  училище        ""Христо  Ботев""","37","4,12","5","5,75","1","4,84","0","0,00","0","0,00","2","5,80","0","0,00","30","4,81","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","САТОВЧА","С.КОЧАН","109 055","Средно училище   ""Христо Смирненски""","14","3,65","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","10","3,88","3","5,53","1","3,53","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","САТОВЧА","С.САТОВЧА","109 050","Средно  училище   ""Св. Св. Кирил и Методий""","33","4,17","1","4,26","1","5,26","0","0,00","6","3,96","3","5,42","15","4,24","6","3,95","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","САТОВЧА","С.СЛАЩЕН","109 037","Средно училище   ""Свети Климент Охридски""","23","3,73","0","0,00","1","2,70","3","4,47","0","0,00","0","0,00","14","4,04","4","4,16","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","СИМИТЛИ","ГР.СИМИТЛИ","103 133","Средно училище  ""Св. Св. Кирил и Методий""","22","3,51","0","0,00","0","0,00","0","0,00","13","3,13","0","0,00","0","0,00","1","3,22","5","5,08","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","СИМИТЛИ","С.КРУПНИК","109 102","Средно  училище  ""Св.св.Кирил и Методий""","22","2,87","0","0,00","0","0,00","0","0,00","20","2,55","0","0,00","0","0,00","0","0,00","2","4,13","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","ХАДЖИДИМОВО","ГР.ХАДЖИДИМОВО","108 001","Средно училище   ""Никола Йонков Вапцаров""","26","3,82","1","5,84","0","0,00","0","0,00","1","3,38","0","0,00","0","0,00","19","4,82","1","4,92","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","ХАДЖИДИМОВО","С.АБЛАНИЦА","108 004","Средно  училище  ,,Св. Паисий Хилендарски""","38","4,23","2","4,70","1","5,58","0","0,00","0","0,00","0","0,00","5","4,57","26","4,69","1","4,59","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","ЯКОРУДА","ГР.ЯКОРУДА","102 011","Професионална гимназия   ""Петко Рачов Славейков""","54","3,18","0","0,00","0","0,00","0","0,00","5","3,15","0","0,00","0","0,00","1","2,84","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БЛАГОЕВГРАД","ЯКОРУДА","ГР.ЯКОРУДА","107 090","Средно училище ""Свети Свети Кирил и Методий""","42","3,88","0","0,00","5","3,89","0","0,00","22","3,24","0","0,00","4","3,91","2","5,26","10","4,13","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БУРГАС","АЙТОС","ГР.АЙТОС","200 114","Професионална гимназия   по селско стопанство  ""Златна нива""","65","2,91","0","0,00","0","0,00","0","0,00","14","3,16","0","0,00","0","0,00","37","3,41","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БУРГАС","АЙТОС","ГР.АЙТОС","200 113","Средно училище   ""Никола Йонков Вапцаров""","52","3,71","0","0,00","1","3,73","0","0,00","31","3,98","2","3,58","0","0,00","14","4,32","5","4,69","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БУРГАС","АЙТОС","ГР.АЙТОС","200 112","Средно училище   ""Христо Ботев""","67","4,11","2","4,06","2","4,44","0","0,00","6","3,76","0","0,00","1","4,53","36","4,60","21","4,26","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 255","Вечерно средно училище "" Захари Стоянов""","32","3,20","0","0,00","0","0,00","0","0,00","6","3,16","0","0,00","10","3,53","9","3,10","5","3,58","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 235","Профилирана гимназия за романски езици      ""Георги Стойков Раковски""","177","4,88","7","3,96","3","3,53","0","0,00","7","4,33","0","0,00","15","4,52","22","5,00","79","4,78","0","0,00","0","0,00","16","5,07","27","4,84","1","5,67"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 238","Профилирана гимназия за чужди езици ""Васил Левски""","156","4,68","5","3,88","1","3,35","0","0,00","8","4,22","0","0,00","13","4,64","11","4,26","61","4,59","53","5,17","3","4,41","0","0,00","0","0,00","0","0,00"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 236","Английска езикова гимназия ""Гео Милев""","163","5,06","2","3,57","0","0,00","1","5,78","2","3,99","1","5,84","4","4,82","12","5,36","141","5,09","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 237","Немска езикова гимназия ""Гьоте""","159","5,28","2","5,75","0","0,00","0","0,00","1","4,46","0","0,00","1","5,98","2","5,48","68","5,20","0","0,00","86","5,44","0","0,00","0","0,00","0","0,00"
"БУРГАС","БУРГАС","ГР.БУРГАС","2 902 103","Национално училище за музикално и сценично изкуство "" Проф. Панчо Владигеров""","48","4,52","1","2,97","0","0,00","0","0,00","0","0,00","0","0,00","1","4,78","3","4,01","12","4,38","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 239","Профилирана природоматематическа гимназия  ""Академик Никола Обрешков""","150","5,24","91","5,65","2","4,64","0","0,00","0","0,00","0","0,00","0","0,00","15","5,57","42","5,39","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 248","Професионална гимназия по   електротехника и електроника ""Константин Фотинов""","105","3,82","0","0,00","1","3,41","0","0,00","1","3,27","0","0,00","4","4,14","15","3,87","50","4,24","0","0,00","1","2,57","0","0,00","0","0,00","0","0,00"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 251","Професионална гимназия по   дървообработване ""Георги Кондолов""","25","3,09","0","0,00","1","2,95","0","0,00","5","2,98","0","0,00","1","2,48","19","3,23","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 244","Професионална гимназия по механоелектротехника и електроника","192","3,89","4","3,63","5","3,61","1","3,36","21","3,52","0","0,00","48","3,81","23","4,04","73","4,22","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 243","Професионална гимназия по морско корабоплаване и риболов  ""Свети Никола""","19","3,64","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","4","3,23","3","3,20","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 252","Професионална гимназия   по сградостроителство и инсталации ""Пеньо Пенев""","20","2,87","0","0,00","0","0,00","0","0,00","4","3,03","0","0,00","2","2,93","18","3,05","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 245","Професионална гимназия по строителство,  архитектура и геодезия ""Кольо Фичето""","150","4,14","1","4,32","2","3,37","0","0,00","4","3,86","0","0,00","69","4,23","19","4,24","51","4,25","2","5,86","1","4,81","0","0,00","0","0,00","0","0,00"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 249","Професионална гимназия по транспорт","73","3,13","0","0,00","0","0,00","0","0,00","2","2,85","0","0,00","8","3,12","49","3,28","7","4,33","1","5,38","0","0,00","0","0,00","0","0,00","0","0,00"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 242","Професионална гимназия по туризъм  ""Проф.д-р Асен Златаров""","213","3,98","1","3,36","7","3,82","0","0,00","18","3,53","0","0,00","28","4,22","81","3,81","55","4,11","1","5,18","1","5,50","0","0,00","0","0,00","0","0,00"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 247","Професионална гимназия по химични технологии ""Акад. Н. Д. Зелинский""","145","3,71","0","0,00","0","0,00","0","0,00","4","3,12","1","3,48","5","3,58","51","3,59","42","4,21","1","3,46","0","0,00","0","0,00","0","0,00","0","0,00"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 250","Професионална техническа гимназия","14","3,19","0","0,00","0","0,00","0","0,00","2","3,38","0","0,00","2","3,15","1","2,40","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 234","Средно училище ""Св. Св. Кирил и Методий""","77","3,97","1","3,59","0","0,00","0","0,00","18","4,34","0","0,00","18","4,06","20","3,75","21","4,26","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 240","Спортно училище   ""Юрий Гагарин""","48","3,24","0","0,00","2","3,03","0","0,00","2","2,57","0","0,00","6","3,31","3","3,58","3","3,81","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 227","Средно  училище   ""Иван Вазов""","3","3,16","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","4","3,56","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 232","Средно  училище   ""Константин Петканов""","4","3,12","0","0,00","0","0,00","0","0,00","2","2,44","0","0,00","1","3,61","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 229","Средно училище    ""Епископ Константин Преславски""","38","3,71","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","3","4,21","26","4,18","11","4,10","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 233","Средно  училище   ""Петко Росен""","20","3,08","0","0,00","1","2,35","0","0,00","0","0,00","0","0,00","1","3,11","0","0,00","1","5,41","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 230","Средно училище ""Димчо Дебелянов""","15","3,71","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","1","3,53","11","3,61","5","3,94","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 231","Средно  училище ,,Добри Чинтулов""","23","3,19","0","0,00","0","0,00","0","0,00","1","3,29","0","0,00","1","2,84","16","3,33","3","3,86","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 228","Средно училище   "" Йордан Йовков""","9","3,14","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","6","3,24","1","4,49","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 246","Професионална търговска гимназия","152","4,74","4","4,17","3","4,18","0","0,00","14","4,10","0","0,00","5","4,56","18","4,46","95","4,64","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 258","Частна  профилирана гимназия с изучаване на английски език  Британика  1998","15","4,27","1","3,98","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","2","3,70","11","4,48","0","0,00","1","5,89","0","0,00","0","0,00","0","0,00"
"БУРГАС","БУРГАС","ГР.БУРГАС","200 221","Средно училище   ""Христо  Ботев""","2","2,97","0","0,00","0","0,00","0","0,00","1","3,00","0","0,00","0","0,00","1","2,22","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БУРГАС","КАМЕНО","ГР.КАМЕНО","200 308","Средно училище   ""Христо Ботев""","9","3,28","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","7","3,52","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БУРГАС","КАРНОБАТ","ГР.КАРНОБАТ","200 413","Професионална гимназия по селско стопанство и лека промишленост","52","3,05","0","0,00","0","0,00","0","0,00","1","3,95","0","0,00","0","0,00","39","3,67","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БУРГАС","КАРНОБАТ","ГР.КАРНОБАТ","200 411","Средно училище   ""Св.Св.Кирил и Методий""","71","4,67","3","5,99","0","0,00","0","0,00","1","3,38","1","6,00","15","5,04","34","5,06","16","4,42","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БУРГАС","КАРНОБАТ","ГР.КАРНОБАТ","200 412","Средно училище ""Христо Ботев""","57","4,05","1","5,41","3","5,83","0","0,00","9","3,43","0","0,00","11","4,60","28","4,46","4","4,98","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БУРГАС","МАЛКО ТЪРНОВО","ГР.МАЛКО ТЪРНОВО","200 503","Средно  училище""Васил Левски""","17","3,11","0","0,00","0","0,00","0","0,00","4","3,20","0","0,00","3","3,98","7","3,13","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БУРГАС","НЕСЕБЪР","ГР.НЕСЕБЪР","200 609","Професионална гимназия     по туризъм  ""Иван Вазов""","70","3,15","0","0,00","3","3,05","0","0,00","14","2,81","0","0,00","1","4,01","30","3,55","5","3,93","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БУРГАС","НЕСЕБЪР","ГР.НЕСЕБЪР","200 608","Средно  училище   ""Любен Каравелов""","34","4,48","0","0,00","1","5,57","0","0,00","8","3,71","0","0,00","0","0,00","3","4,74","21","4,49","1","5,07","0","0,00","0","0,00","0","0,00","0","0,00"
"БУРГАС","ПОМОРИЕ","ГР.ПОМОРИЕ","200 712","Професионална гимназия   по туризъм ""Алеко Константинов""","60","3,17","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","3","3,77","55","3,41","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БУРГАС","ПОМОРИЕ","ГР.ПОМОРИЕ","200 711","Средно училище   ""Иван Вазов""","16","3,97","0","0,00","0","0,00","0","0,00","4","3,36","0","0,00","1","4,15","9","3,83","3","4,85","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БУРГАС","ПРИМОРСКО","ГР.ПРИМОРСКО","200 803","Средно училище   ""Никола Йонков Вапцаров""","14","3,59","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","13","4,18","1","5,32","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
"БУРГАС","РУЕН","С.ЛЮЛЯКОВО","200 931","Средно  Училище   "" Отец Паисий""","35","3,29","0","0,00","1","3,92","0","0,00","0","0,00","0","0,00","0","0,00","31","3,94","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00"
