"Град","Код","Име","БЕЛ","МАТ","Уч. БЕЛ","Уч. МАТ"
"София","2201078","78. Средно училище Христо Смирненски","55.45","31.29","76","76"
"София","2215170","170 Средно училище Васил Левски","50.45","25.91","93","92"
"София","2215171","171 ОСНОВНО УЧИЛИЩЕ СТОИЛ ПОПОВ","57.4","30.72","29","29"
"София","2215172","172 Обединено училище Христо Ботев","24.56","12.44","9","9"
"София","2200015","ЧАСТНО ОСНОВНО УЧИЛИЩЕ ПРОФ. Д-Р ВАСИЛ ЗЛАТАРСКИ","60.82","38.73","33","33"
"София","2200021","ЧОУ Роналд Лаудер","79.57","49.32","15","15"
"София","2200023","Частно средно училище Константин-Кирил Философ","72","80.5","1","1"
"София","2201515","Частно основно училище Цар Симеон Велики","71.94","59.38","17","17"
"София","2202002","2 Средно училище Академик Емилиян Станев ","75.99","58.5","167","166"
"София","2202005","5 Основно училище Иван Вазов","69.88","48.09","84","84"
"София","2202026","26 Средно училище Йордан Йовков","59.96","34.06","41","41"
"София","2202050","50. ОСНОВНО УЧИЛИЩЕ ВАСИЛ ЛЕВСКИ","63.23","45.5","53","53"
"София","2202052","52. основно училище Цанко Церковски","72.05","56.06","66","66"
"София","2202064","64 основно училище Цар Симеон Велики ","70.36","49.89","38","38"
"София","2202534","Частно профилирано средно училище Свети Наум","75.17","48.75","3","2"
"София","2202535","ЧСУ Рьорих с ранно чуждоезиково обучение и разширено изучаване на музика и изобразително изкуство","59.41","28.09","11","11"
"София","2202536","Частно средно езиково училище Британика","80.74","74.87","23","23"
"София","2202537","Частно основно училище Света София ЕООД","91.72","93.67","67","67"
"София","2202574","Частно средно училище Свети Георги","66.48","54.32","31","30"
"София","2202612","Специално училище за ученици с увреден слух Проф. д-р Дечо Денев","29.7","33.25","5","4"
"София","2202620","Частно средно училище Професор Николай Райнов","51.83","36.67","6","6"
"София","2202704","Частно средно училище Евлоги и Христо Георгиеви ЕООД","73.93","57.63","15","14"
"София","2202705","Частно Основно Училище Откривател","72.7","60.55","5","5"
"София","2203061","61-во основно училище Свети Свети Кирил и Методий","69.26","43.83","89","89"
"София","2203062","62. Основно училище Христо Ботев","53.88","36.06","21","21"
"София","2203070","70-о основно училище Свети Климент Охридски","22.03","12.38","15","15"
"София","2203074","74 СУ ГОЦЕ ДЕЛЧЕВ","55.26","28.23","80","80"
"София","2203140","140. СРЕДНО УЧИЛИЩЕ ИВАН БОГОРОВ","43.38","18.44","56","56"
"София","2203720","Частно средно училище Дружба - София","63.21","47.1","26","26"
"София","2204018","18 Средно училище Уилям Гладстон","73.47","54.75","204","204"
"София","2204030","30 СРЕДНО УЧИЛИЩЕ БРАТЯ МИЛАДИНОВИ","64.96","42.26","89","88"
"София","2204032","32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ СВЕТИ КЛИМЕНТ ОХРИДСКИ","76.33","59.84","166","166"
"София","2204046","46 Основно училище Константин Фотинов с разширено изучаване на хореография","56.41","35","32","32"
"София","2204067","67 ОСНОВНО УЧИЛИЩЕ ВАСИЛ ДРУМЕВ","16.71","12.86","40","42"
"София","2204076","76. Основно училище Уилям Сароян","56.4","41.7","5","5"
"София","2204134","134. средно училище Димчо Дебелянов","73.29","58.36","70","70"
"София","2204136","136 ОСНОВНО УЧИЛИЩЕ ЛЮБЕН КАРАВЕЛОВ","20.3","9.35","46","44"
"София","2204549","Частно средно училище с немски език Веда","82.84","75.17","22","22"
"София","2204595","ЧАСТНО ОСНОВНО УЧИЛИЩЕ СВЕТЛИНА","49.13","29.5","4","4"
"София","2204674","Частно основно училище Езиков свят","41","17.5","2","2"
"София","2205011","11 ОУ Св. Пимен Зографски","60.43","47.54","52","52"
"София","2205105","105. СРЕДНО УЧИЛИЩЕ АТАНАС ДАЛЧЕВ","70.17","55.2","130","130"
